0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/resources/image/phone2.jpg HTTP/1.1" 200 237158
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/resources/image/phone3.jpg HTTP/1.1" 200 1139072
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:53 +0530] "GET /MobileStore/src/main/webapp/WEB-INF/views/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/resources/image/phone4.jpg HTTP/1.1" 200 110486
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/resources/image/phone5.jpg HTTP/1.1" 200 1285501
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/resources/image/phone7.jpg HTTP/1.1" 200 179681
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/engine1/jquery.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:08:54 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:09:01 +0530] "GET /MobileStore/productlistView?id=102 HTTP/1.1" 200 10410
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:09:02 +0530] "GET /MobileStore/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:09:02 +0530] "GET /MobileStore/engine1/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:10:09:02 +0530] "GET /MobileStore/MyStyle.css HTTP/1.1" 404 992
